"Path","PropertyTable","DesignDNA","Events","ErrorCases","RelatedDocs"
"02-Core\Brain\Conversation\001-Dialogue-State.md","Y","N","N","Y","Y"
"02-Core\Brain\Conversation\002-Multi-Turn.md","Y","N","N","Y","Y"
"02-Core\Brain\Conversation\003-Context-Threading.md","Y","N","N","Y","Y"
"02-Core\Brain\Conversation\004-Session-Management.md","Y","N","N","Y","Y"
"02-Core\Brain\Conversation\005-Channel-Adaptation.md","Y","N","N","Y","Y"
"02-Core\Brain\Decision\000-Overview.md","Y","N","N","Y","Y"
"02-Core\Brain\Decision\001-Scoring-Engine.md","Y","N","N","Y","Y"
"02-Core\Brain\Decision\002-Trade-off-Analysis.md","Y","N","N","Y","Y"
"02-Core\Brain\Decision\003-Constraints.md","Y","N","N","Y","Y"
"02-Core\Brain\Decision\004-Criteria-Registry.md","Y","N","N","Y","Y"
"02-Core\Brain\Decision\005-Decision-Pipeline.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\000-Overview.md","Y","Y","N","Y","Y"
"02-Core\Brain\LLMOS\001-Model-Registry.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\002-Router.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\003-Prompt-Compiler.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\004-Context-Builder.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\005-Memory-Injection.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\006-Token-Budget-Manager.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\007-Cost-Optimizer.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\008-Streaming-Manager.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\009-Retry-Engine.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\010-Guardrails.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\011-Cache.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\012-Response-Validator.md","Y","N","N","Y","Y"
"02-Core\Brain\LLMOS\013-Provider-SDK.md","Y","N","N","Y","Y"
"02-Core\Brain\Memory\000-Overview.md","Y","N","N","Y","Y"
"02-Core\Brain\Memory\001-Working-Memory.md","Y","N","N","Y","Y"
"02-Core\Brain\Memory\002-Episodic-Memory.md","Y","N","N","Y","Y"
"02-Core\Brain\Memory\003-Semantic-Memory.md","Y","N","N","Y","Y"
"02-Core\Brain\Memory\004-Procedural-Memory.md","Y","N","N","Y","Y"
"02-Core\Brain\Memory\005-Indexing.md","Y","N","N","Y","Y"
"02-Core\Brain\Memory\006-Compaction.md","Y","N","N","Y","Y"
"02-Core\Brain\Personality\000-Overview.md","Y","N","N","Y","Y"
"02-Core\Brain\Personality\001-Identity-Profile.md","Y","N","N","Y","Y"
"02-Core\Brain\Personality\002-Values.md","Y","N","N","Y","Y"
"02-Core\Brain\Personality\003-Behavior-Patterns.md","Y","N","N","Y","Y"
"02-Core\Brain\Personality\004-Style-Config.md","Y","N","N","Y","Y"
"02-Core\Brain\Personality\005-Evolution.md","Y","N","N","Y","Y"
"02-Core\Brain\Planning\000-Overview.md","Y","N","N","Y","Y"
"02-Core\Brain\Planning\001-Goal-Decomposition.md","Y","N","N","Y","Y"
"02-Core\Brain\Planning\002-Milestones.md","Y","N","N","Y","Y"
"02-Core\Brain\Planning\003-Dependencies.md","Y","N","N","Y","Y"
"02-Core\Brain\Planning\004-Progress-Tracking.md","Y","N","N","Y","Y"
"02-Core\Brain\Planning\005-Plan-Versioning.md","Y","N","N","Y","Y"
"02-Core\Brain\Sou\000-Overview.md","Y","N","N","N","Y"
"02-Core\Brain\Sou\001-Reasoning.md","Y","Y","Y","Y","Y"
"02-Core\Brain\Sou\002-Planner.md","Y","Y","Y","Y","Y"
"02-Core\Brain\Sou\003-Missions.md","Y","Y","Y","Y","Y"
"02-Core\Brain\Sou\004-Learning.md","Y","Y","Y","Y","Y"
"02-Core\Brain\Sou\005-Knowledge.md","Y","Y","Y","Y","Y"
"02-Core\Brain\Tools\000-Overview.md","Y","N","N","Y","Y"
"02-Core\Brain\Tools\001-Registry.md","Y","N","N","Y","Y"
"02-Core\Brain\Tools\002-Discovery.md","Y","N","N","Y","Y"
"02-Core\Brain\Tools\003-Invocation.md","Y","N","N","Y","Y"
"02-Core\Brain\Tools\004-Validation.md","Y","N","N","Y","Y"
"02-Core\Brain\Tools\005-Sandboxing.md","Y","N","N","Y","Y"
"02-Core\Brain\Tools\006-Lifecycle.md","Y","N","N","Y","Y"
"02-Core\Brain\Vision\000-Overview.md","Y","N","N","Y","Y"
"02-Core\Brain\Vision\001-Image-Analysis.md","Y","N","N","Y","Y"
"02-Core\Brain\Vision\002-OCR.md","Y","N","N","Y","Y"
"02-Core\Brain\Vision\003-Scene-Description.md","Y","N","N","Y","Y"
"02-Core\Brain\Vision\004-Video-Processing.md","Y","N","N","Y","Y"
"02-Core\Brain\Vision\005-Document-Parsing.md","Y","N","N","Y","Y"
"02-Core\Brain\Voice\000-Overview.md","Y","N","N","Y","Y"
"02-Core\Brain\Voice\001-STT-Engine.md","Y","N","N","Y","Y"
"02-Core\Brain\Voice\002-TTS-Engine.md","Y","N","N","Y","Y"
"02-Core\Brain\Voice\003-Voice-Profiles.md","Y","N","N","Y","Y"
"02-Core\Brain\Voice\004-Streaming.md","Y","N","N","Y","Y"
"02-Core\Brain\Voice\005-Emotion-Detection.md","Y","N","N","Y","Y"
"02-Core\DTS\000-Overview.md","Y","Y","Y","Y","Y"
"02-Core\DTS\001-Architecture.md","Y","Y","Y","Y","Y"
"02-Core\DTS\002-Sim-Pipeline.md","Y","Y","Y","Y","Y"
"02-Core\DTS\003-Sim-Engines.md","Y","Y","Y","Y","Y"
"02-Core\DTS\004-Confidence.md","Y","Y","Y","Y","Y"
"02-Core\OSYS\000-Overview.md","Y","Y","Y","N","Y"
"02-Core\OSYS\001-Architecture.md","Y","Y","Y","Y","Y"
"02-Core\OSYS\002-Org-Lifecycle.md","Y","Y","Y","Y","Y"
"02-Core\ROS\000-Overview.md","Y","Y","N","N","Y"
"02-Core\ROS\001-Architecture.md","Y","Y","N","N","Y"
"02-Core\ROS\002-Registry.md","Y","Y","N","N","Y"
"02-Core\ROS\003-Allocator.md","Y","Y","N","N","Y"
"02-Core\ROS\004-Planner.md","Y","Y","N","N","Y"
"02-Core\ROS\005-Budget.md","Y","Y","N","N","Y"
"02-Core\ROS\006-Quota.md","Y","Y","N","Y","Y"
"02-Core\ROS\007-RMP.md","Y","Y","N","N","Y"
"02-Core\ROS\008-Provider-SDK.md","Y","Y","N","Y","Y"
"02-Core\ROS\009-Reservation.md","Y","Y","N","N","Y"
"02-Core\ROS\010-Cost.md","Y","Y","N","N","Y"
"02-Core\ROS\011-Energy.md","Y","Y","N","N","Y"
"02-Core\ROS\012-Recovery.md","Y","Y","N","N","Y"
"02-Core\ROS\013-Observability.md","Y","Y","N","N","Y"
"02-Core\ROS\014-RXP.md","Y","Y","N","N","Y"
"02-Core\Sou\000-Overview.md","Y","Y","Y","Y","Y"
"02-Core\Sou\001-Reasoning.md","Y","Y","Y","Y","Y"
"02-Core\Sou\002-Planner.md","Y","Y","Y","Y","Y"
"02-Core\Sou\003-Missions.md","Y","Y","Y","Y","Y"
"02-Core\Sou\004-Learning.md","Y","Y","Y","Y","Y"
"02-Core\Sou\005-Knowledge.md","Y","Y","Y","Y","Y"
"03-Institutions\Missions\000-Lifecycle.md","Y","Y","N","Y","Y"
"03-Institutions\Missions\001-Planning.md","Y","N","N","Y","Y"
"03-Institutions\Missions\002-Execution.md","Y","N","N","Y","Y"
"03-Institutions\Missions\003-Delegation.md","Y","N","N","Y","Y"
"03-Institutions\Missions\004-Failure-Recovery.md","Y","N","N","Y","Y"
"03-Institutions\Organizations\000-Overview.md","Y","Y","Y","N","Y"
"03-Institutions\Organizations\001-OOM.md","Y","Y","Y","N","Y"
"03-Institutions\Organizations\002-OHS.md","Y","Y","Y","Y","Y"
"03-Institutions\Organizations\003-ODS.md","Y","Y","Y","Y","Y"
"03-Institutions\Organizations\004-ORG.md","Y","Y","Y","Y","Y"
"03-Institutions\Organizations\005-DOM.md","Y","Y","Y","N","Y"
"03-Institutions\Organizations\006-OIS.md","Y","Y","Y","Y","Y"
"03-Institutions\Organizations\007-EEE.md","Y","Y","Y","Y","Y"
"03-Institutions\Organizations\008-OPE.md","Y","Y","Y","Y","Y"
"03-Institutions\Workers\000-Overview.md","Y","Y","Y","N","Y"
"03-Institutions\Workers\001-WOM.md","Y","Y","Y","Y","Y"
"03-Institutions\Workers\002-WHS.md","Y","Y","Y","Y","Y"
"03-Institutions\Workers\003-WSS.md","Y","Y","Y","Y","Y"
"03-Institutions\Workers\004-WCS.md","Y","Y","Y","Y","Y"
"03-Institutions\Workers\005-Playbook-Manager.md","Y","Y","Y","Y","Y"
"04-Execution\Runtime\000-Overview.md","Y","Y","Y","Y","Y"
"04-Execution\Runtime\001-SDK.md","Y","Y","N","Y","Y"
"04-Execution\Runtime\002-Claude.md","Y","Y","N","Y","Y"
"04-Execution\Runtime\003-Codex.md","Y","Y","N","Y","Y"
"04-Execution\Runtime\004-Ollama.md","Y","Y","N","Y","Y"
"04-Execution\Runtime\005-Browser.md","Y","Y","N","Y","Y"
"04-Execution\Runtime\006-Trading.md","Y","Y","N","Y","Y"
"04-Execution\Runtime\007-Robotics.md","Y","Y","N","Y","Y"
"04-Execution\Security\000-Overview.md","Y","Y","N","Y","Y"
"04-Execution\Security\001-Architecture.md","Y","Y","Y","Y","Y"
"04-Execution\Security\002-Trust-Model.md","Y","Y","Y","Y","Y"
"04-Execution\Security\ATS\000-Auth-Methods.md","Y","Y","N","N","N"
"04-Execution\Security\ATS\001-MFA.md","Y","N","N","N","N"
"04-Execution\Security\ATS\002-Session-Mgmt.md","Y","N","N","N","N"
"04-Execution\Security\Audit\000-EAS.md","Y","Y","Y","Y","Y"
"04-Execution\Security\AZS\000-RBAC.md","Y","Y","Y","Y","Y"
"04-Execution\Security\AZS\001-ABAC.md","Y","Y","Y","N","Y"
"04-Execution\Security\AZS\002-Capability.md","Y","Y","Y","N","Y"
"04-Execution\Security\CCA\000-CCA.md","Y","N","N","Y","Y"
"04-Execution\Security\CCA\001-CAS.md","Y","N","N","Y","Y"
"04-Execution\Security\CCA\002-CDG.md","Y","N","N","Y","Y"
"04-Execution\Security\Crypto\000-CSP.md","Y","Y","Y","Y","Y"
"04-Execution\Security\Crypto\001-CAM.md","Y","Y","Y","N","Y"
"04-Execution\Security\Execution-Auth\000-EAS.md","Y","Y","N","Y","Y"
"04-Execution\Security\Hardening\000-Overview.md","Y","N","N","Y","Y"
"04-Execution\Security\IDS\000-Overview.md","Y","N","N","N","Y"
"04-Execution\Security\IDS\001-Registry.md","Y","N","N","N","N"
"04-Execution\Security\IDS\002-Resolution.md","Y","N","N","N","N"
"04-Execution\Security\IDS\003-Lifecycle.md","Y","N","N","N","N"
"04-Execution\Security\IDS\004-Federation.md","Y","N","N","N","N"
"04-Execution\Security\IDS\005-Provenance.md","Y","N","N","N","N"
"04-Execution\Security\Pentest\000-Overview.md","Y","N","N","Y","Y"
"04-Execution\Security\Policy-System\000-PS.md","Y","Y","Y","N","Y"
"04-Execution\Security\Policy-System\001-PDG.md","Y","Y","Y","N","Y"
"04-Execution\Security\Policy-System\002-PVE.md","Y","Y","Y","N","Y"
"04-Execution\Security\Risk\000-RE.md","Y","Y","Y","N","Y"
"04-Execution\Security\Risk\001-RKG.md","Y","Y","Y","N","Y"
"04-Execution\Security\Risk\002-ARE.md","Y","Y","Y","N","Y"
"04-Execution\Security\Sandbox\000-Isolation.md","Y","Y","Y","N","Y"
"04-Execution\Security\Sandbox\001-Firecracker.md","Y","N","Y","Y","Y"
"04-Execution\Security\Sandbox\002-gVisor.md","Y","N","Y","Y","Y"
"04-Execution\Security\Sandbox\003-WASM.md","Y","N","Y","Y","Y"
"04-Execution\Security\Sandbox\004-Seccomp.md","Y","N","Y","Y","Y"
"04-Execution\Security\Sandbox\005-Namespaces.md","Y","N","Y","Y","Y"
"04-Execution\Security\SSM\000-SSM.md","Y","Y","Y","N","Y"
"04-Execution\Security\Trust\000-TLM.md","Y","Y","Y","N","Y"
"04-Execution\Security\Verification\000-Overview.md","Y","N","N","Y","Y"
"04-Execution\Security\Verification\001-Pipeline-Stages.md","Y","N","N","Y","Y"
"04-Execution\Security\Verification\002-Identity-Stage.md","Y","N","N","Y","Y"
"04-Execution\Security\Verification\003-AuthN-Stage.md","Y","N","N","Y","Y"
"04-Execution\Security\Verification\004-AuthZ-Stage.md","Y","N","N","Y","Y"
"04-Execution\Security\Verification\005-Policy-Stage.md","Y","N","N","Y","Y"
"04-Execution\Security\Verification\006-Capability-Stage.md","Y","N","N","Y","Y"
"04-Execution\Security\Verification\007-Risk-Stage.md","Y","N","N","Y","Y"
"04-Execution\Security\Verification\008-Authorization-Stage.md","Y","N","N","Y","Y"
"04-Execution\Simulation\000-Overview.md","Y","N","N","Y","Y"
"04-Execution\Simulation\001-Simulation-Engine.md","Y","N","N","Y","Y"
"04-Execution\Simulation\002-Scenarios.md","Y","N","N","Y","Y"
"04-Execution\Simulation\003-Validation.md","Y","N","N","Y","Y"
"04-Execution\Workflow\000-Overview.md","Y","N","N","Y","Y"
"04-Execution\Workflow\001-Pipeline-Architecture.md","Y","N","N","Y","Y"
"04-Execution\Workflow\002-State-Machine.md","Y","N","N","Y","Y"
"04-Execution\Workflow\003-Monitoring.md","Y","N","N","Y","Y"
"05-Platform\000-LMS.md","Y","Y","Y","Y","Y"
"05-Platform\001-State-Machine.md","Y","Y","Y","Y","Y"
"05-Platform\002-Transition-Validator.md","Y","Y","Y","Y","Y"
"05-Platform\003-PSAP.md","Y","Y","Y","Y","Y"
"05-Platform\004-EVS.md","Y","Y","Y","Y","Y"
"05-Platform\005-AUS.md","Y","Y","Y","Y","Y"
"05-Platform\006-EPG.md","Y","Y","Y","Y","Y"
"05-Platform\007-EIP.md","Y","Y","Y","Y","Y"
"05-Platform\008-BG.md","Y","Y","Y","Y","Y"
"05-Platform\009-TP.md","Y","Y","Y","Y","Y"
"05-Platform\010-TEE.md","Y","Y","Y","Y","Y"
"05-Platform\011-TPE.md","Y","Y","Y","Y","Y"
"05-Platform\012-CP.md","Y","Y","Y","Y","Y"
"05-Platform\013-Graph-Framework.md","Y","Y","Y","Y","Y"
"05-Platform\Observability\000-AOP.md","Y","N","N","Y","Y"
"06-Services\ACF\000-Overview.md","Y","N","N","Y","N"
"06-Services\ACF\001-Architecture.md","Y","Y","Y","Y","Y"
"06-Services\ACF\002-Messages.md","Y","Y","Y","Y","Y"
"06-Services\ACF\003-Routing.md","Y","Y","Y","Y","Y"
"06-Services\ACF\004-Subscriptions.md","Y","Y","Y","Y","Y"
"06-Services\ACF\005-Streaming.md","Y","Y","Y","Y","Y"
"06-Services\ACF\006-Reliability.md","Y","Y","Y","Y","Y"
"06-Services\ACF\007-Distributed.md","Y","Y","Y","Y","Y"
"06-Services\Cryptography\000-CSP.md","Y","Y","Y","N","Y"
"06-Services\Cryptography\001-CAM.md","Y","Y","Y","N","Y"
"06-Services\Cryptography\Certificates\000-Certificates.md","Y","Y","Y","N","Y"
"06-Services\Cryptography\Encryption\000-Encryption.md","Y","Y","Y","Y","Y"
"06-Services\Cryptography\Hashing\000-Hashing.md","Y","Y","Y","Y","Y"
"06-Services\Cryptography\HSM\000-HSM.md","Y","Y","Y","N","Y"
"06-Services\Cryptography\KMS\000-KMS.md","Y","Y","Y","N","Y"
"06-Services\Cryptography\Random\000-Random.md","Y","Y","Y","Y","Y"
"06-Services\Cryptography\Signatures\000-Signatures.md","Y","Y","Y","N","Y"
"06-Services\Cryptography\SMS\000-SMS.md","Y","Y","Y","N","Y"
"06-Services\Federation\000-Overview.md","Y","Y","Y","N","Y"
"06-Services\Federation\001-AIP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\002-RXP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\003-MXP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\004-KXP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\005-GXP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\006-OXP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\007-SXP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\008-EXP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\009-TXP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\010-PXP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\011-CXP.md","Y","Y","Y","Y","Y"
"06-Services\Federation\012-IXP.md","Y","Y","Y","Y","Y"
"06-Services\Interop\000-Overview.md","Y","N","N","Y","Y"
"06-Services\Interop\001-Protocols.md","Y","N","N","Y","Y"
"06-Services\Interop\002-Adapters.md","Y","N","N","Y","Y"
"06-Services\Interop\003-Translation.md","Y","N","N","Y","Y"
"07-Domains\Coding\000-Overview.md","Y","Y","Y","N","Y"
"07-Domains\Coding\001-Languages.md","Y","N","Y","Y","Y"
"07-Domains\Coding\002-Code-Generation.md","Y","N","Y","Y","Y"
"07-Domains\Coding\003-Review.md","Y","N","Y","Y","Y"
"07-Domains\Coding\004-Refactoring.md","Y","N","Y","Y","Y"
"07-Domains\Communication\000-Overview.md","Y","Y","Y","N","Y"
"07-Domains\Communication\001-Protocols.md","Y","N","Y","Y","Y"
"07-Domains\Communication\002-Messaging.md","Y","N","Y","Y","Y"
"07-Domains\Communication\003-Collaboration.md","Y","N","Y","Y","Y"
"07-Domains\Economic\000-Overview.md","Y","N","Y","Y","Y"
"07-Domains\Economic\001-Models.md","Y","N","Y","Y","Y"
"07-Domains\Economic\002-Analysis.md","Y","N","Y","Y","Y"
"07-Domains\Economic\003-Simulation.md","Y","N","Y","Y","Y"
"07-Domains\Embedded\000-Overview.md","Y","Y","Y","N","Y"
"07-Domains\Embedded\001-Devices.md","Y","N","Y","Y","Y"
"07-Domains\Embedded\002-Firmware.md","Y","N","Y","Y","Y"
"07-Domains\Embedded\003-Constraints.md","Y","N","Y","Y","Y"
"07-Domains\FPGA\000-Overview.md","Y","Y","Y","N","Y"
"07-Domains\FPGA\001-Architecture.md","Y","N","Y","Y","Y"
"07-Domains\FPGA\002-Synthesis.md","Y","N","Y","Y","Y"
"07-Domains\FPGA\003-Verification.md","Y","N","Y","Y","Y"
"07-Domains\Linux\000-Overview.md","Y","Y","Y","N","Y"
"07-Domains\Linux\001-Kernel.md","Y","N","Y","Y","Y"
"07-Domains\Linux\002-System-Admin.md","Y","N","Y","Y","Y"
"07-Domains\Linux\003-Networking.md","Y","N","Y","Y","Y"
"07-Domains\Linux\004-Power-Management.md","Y","N","Y","Y","Y"
"07-Domains\Research\000-Overview.md","Y","Y","Y","N","Y"
"07-Domains\Research\001-Literature-Review.md","Y","N","Y","Y","Y"
"07-Domains\Research\002-Experiment-Design.md","Y","N","Y","Y","Y"
"07-Domains\Research\003-Data-Analysis.md","Y","N","Y","Y","Y"
"07-Domains\Robotics\000-Overview.md","Y","Y","Y","N","Y"
"07-Domains\Robotics\001-ROS-Integration.md","Y","N","Y","Y","Y"
"07-Domains\Robotics\002-Sensor-Fusion.md","Y","N","Y","Y","Y"
"07-Domains\Robotics\003-Motion-Planning.md","Y","N","Y","Y","Y"
"07-Domains\Security\000-Overview.md","Y","Y","Y","N","Y"
"07-Domains\Security\001-Network-Scanning.md","Y","N","Y","Y","Y"
"07-Domains\Security\002-Vulnerability-Analysis.md","Y","N","Y","Y","Y"
"07-Domains\Security\003-Forensics.md","Y","N","Y","Y","Y"
"07-Domains\Trading\000-Overview.md","Y","Y","Y","N","Y"
"07-Domains\Trading\001-Algorithms.md","Y","N","Y","Y","Y"
"07-Domains\Trading\002-Risk-Analysis.md","Y","N","Y","Y","Y"
"07-Domains\Trading\003-Market-Data.md","Y","N","Y","Y","Y"
"08-Interfaces\API\000-Specifications.md","Y","Y","Y","Y","Y"
"08-Interfaces\Console\000-Overview.md","Y","N","Y","Y","Y"
"08-Interfaces\Console\001-CLI-Commands.md","Y","N","Y","Y","Y"
"08-Interfaces\Console\002-REPL.md","Y","N","Y","Y","Y"
"08-Interfaces\Console\003-Scripting.md","Y","N","Y","Y","Y"
"08-Interfaces\Console\004-AutoComplete.md","Y","N","Y","Y","Y"
"08-Interfaces\Dashboard\000-Overview.md","Y","N","Y","Y","Y"
"08-Interfaces\Dashboard\001-Metrics.md","Y","N","Y","Y","Y"
"08-Interfaces\Dashboard\002-Widgets.md","Y","N","Y","Y","Y"
"08-Interfaces\Dashboard\003-RealTime.md","Y","N","Y","Y","Y"
"08-Interfaces\Dashboard\004-User-Management.md","Y","N","Y","Y","Y"
"08-Interfaces\Dashboard\005-Alerts.md","Y","N","Y","Y","Y"
"08-Interfaces\SDK\000-Runtime-SDK.md","Y","Y","Y","N","Y"
"08-Interfaces\SDK\001-Audit-SDK.md","Y","Y","Y","N","Y"
"08-Interfaces\SDK\002-Knowledge-SDK.md","Y","Y","Y","N","Y"
"08-Interfaces\SDK\003-Provider-SDK.md","Y","Y","Y","N","Y"
"08-Interfaces\UI\000-Overview.md","Y","N","Y","Y","Y"
"08-Interfaces\UI\001-Design-System.md","Y","N","Y","Y","Y"
"08-Interfaces\UI\002-Components.md","Y","N","Y","Y","Y"
"08-Interfaces\UI\003-Accessibility.md","Y","N","Y","Y","Y"
"08-Interfaces\UI\004-Themes.md","Y","N","Y","Y","Y"
"09-Reference\000-Decision-Log.md","Y","Y","N","N","Y"
"09-Reference\001-Glossary.md","Y","Y","N","N","Y"
"09-Reference\002-ADG-Index.md","Y","Y","N","N","Y"
"09-Reference\003-Migration-Guide.md","Y","Y","N","N","Y"
"10-Research\000-Phases-2-5.md","Y","Y","N","N","Y"
"10-Research\001-Autonomy-Evolution.md","Y","Y","N","N","Y"
"10-Research\002-Ecosystem.md","Y","Y","N","N","Y"
"10-Research\003-Future-Topics.md","Y","Y","N","N","Y"
